KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.1Day,Day,1日,,,,,,,,,,,,,,,,
key.1Month,Month,1ヵ月,,,,,,,,,,,,,,,,
key.1Week,Week,1週間,,,,,,,,,,,,,,,,
key.AbsoluteDisplay,基準値を±表示,基準値を±表示,,,,,,,,,,,,,,,,
key.AcceptActualResult,Stock Actual Rersult,受入作業実績,Stock Actual Rersult,受入作業実績,,,,,,,,,,,,,,
key.Accepted,Accepted,受入,Accepted,受入,,,,,,,,,,,,,,
key.AcceptedIdentName,Accepted identify name,受入識別名,Accepted identify name,受入識別名,,,,,,,,,,,,,,
key.AcceptReport,Accept report,受入実績,,,,,,,,,,,,,,,,
key.AcceptReportFile,Accept report file,受入実績ファイル,,,,,,,,,,,,,,,,
key.AccessionCount,Accession count,入荷数,Accession count,入荷数,,,,,,,,,,,,,,
key.AccessionDate,Accession date,入荷日,Accession date,入荷日,,,,,,,,,,,,,,
key.AccessionState,State,状態,,,,,,,,,,,,,,,,
key.AccessionState.Appearance,Problem with appearance,外観に問題あり,,,,,,,,,,,,,,,,
key.AccessionState.Normal,,,,,,,,,,,,,,,,,,
key.AccessionState.Separate,Separate delivery,分割納品,,,,,,,,,,,,,,,,
key.AccessionState.Shortage,Shortage,欠品,,,,,,,,,,,,,,,,
key.AccumProgress,累積進捗,累積進捗,,,,,,,,,,,,,,,,
key.AchievementDegrees,Achievement degrees,達成度,,,,,,,,,,,,,,,,
key.AchievementRate,Achievement rate,達成率,b,,,,,,,,,,,,,,,
key.actualNum,Record number,実績件数,,,,,,,,,,,,,,,,
key.ActualOnly,Actual,実績のみ,,,,,,,,,,,,,,,,
key.ActualStatus,Actual Status ,実績ステータス,,,,,,,,,,,,,,,,
key.ActualTitle,Actual,実績,,,,,,,,,,,,,,,,
key.ActualValue,Actual value,実測値,,,,,,,,,,,,,,,,
key.Add,Add,追加,,,,,,,,,,,,,,,,
key.AddAdditionalWork,Add Additional Work,追加工程の追加,,,,,,,,,,,,,,,,
key.AddErrAlreadyMessage,%s has already been added.,%sは、既に追加されています。,,,,,,,,,,,,,,,,
key.AddErrIdentNameOrverLap,You can not update because the identifier is a duplicate,識別子が重複しているため更新できません,,,,,,,,,,,,,,,,
key.AddErrNameOverLap,You can not update because the name is a duplicate,名前が重複しているため更新できません,,,,,,,,,,,,,,,,
key.AddErrNotFoundParent,You can not update because the destination of the hierarchy is not specified,保存先の階層が指定されていないため更新できません,,,,,,,,,,,,,,,,
key.AddInfoItemNameCountOver,AddInfoItemNameCountOver256,追加項目名の文字数が256文字を超えています。,,,,,,,,,,,,,,,,
key.AddInfoItemValueCountOver,key.AddInfoItemValueCountOver1024,追加項目現在値の文字数が1024文字を超えています。,,,,,,,,,,,,,,,,
key.AddInfoName,AddInfoName,項目名,,,,,,,,,,,,,,,,
key.AddInfoType,AddInfoType,タイプ,,,,,,,,,,,,,,,,
key.AddInfoValue,AddInfoValue,現在値,,,,,,,,,,,,,,,,
key.AdditionalColumns,Additional items,追加項目,,,,,,,,,,,,,,,,
key.AdditionalProcess,Additional Process,追加工程,,,,,,,,,,,,,,,,
key.AdditionalWork,AdditionalWork,追加作業,,,,,,,,,,,,,,,,
key.AddListItem,Add ListItem,リストに追加,,,,,,,,,,,,,,,,
key.AddMultiple,Add Multiple,複数追加,,,,,,,,,,,,,,,,
key.Addressee,Addressee,送付先,,,,,,,,,,,,,,,,
key.adFactoryServerURI,Server Address,サーバーアドレス,,,,,,,,,,,,,,,,
key.adManagerAppTitle,adManager,adManager,,,,,,,,,,,,,,,,
key.AdministratorTerminal,adManager,管理端末用,,,,,,,,,,,,,,,,
key.AffiliationName,所属,所属,,,,,,,,,,,,,,,,
key.AfterLocationName,After ｌocation,移動後,After ｌocation,移動後,,,,,,,,,,,,,,
key.agenda,Agenda Setting,予実表示設定,,,,,,,,,,,,,,,,
key.AgendaCompactDisplay,Agenda Compact Display,まとめて表示,,,,,,,,,,,,,,,,
key.AgendaDisplayPattern,Agenda Display Pattern,予実表示パターン,,,,,,,,,,,,,,,,
key.AgendaDisplayPerKanban,Agenda Display Each Kanban,カンバン毎に表示,,,,,,,,,,,,,,,,
key.agendaMonitorLineType,Agenda Monitor,アジェンダモニター,,,,,,,,,,,,,,,,
key.AggregateUnit,AggregateUnit,集計単位,,,,,,,,,,,,,,,,
key.alert.accessDenied,サーバーから接続が拒否されました,サーバーから接続が拒否されました,,,,,,,,,,,,,,,,
key.alert.accessDenied.details,URLの設定を確認してください。,URLの設定を確認してください。,,,,,,,,,,,,,,,,
key.alert.barcodeDevice,バーコードリーダーは使用できません,バーコードリーダーは使用できません,,,,,,,,,,,,,,,,
key.alert.barcodeDevice.details,バーコードリーダーの接続を確認してください。確認した後、[再試行]を選択してください。バーコードリーダーを使用しない場合は、[キャンセル]を選択してください。,バーコードリーダーの接続を確認してください。確認した後、[再試行]を選択してください。バーコードリーダーを使用しない場合は、[キャンセル]を選択してください。,,,,,,,,,,,,,,,,
key.alert.closing,作業中のため、アプリケーションを終了できません,作業中のため、アプリケーションを終了できません,,,,,,,,,,,,,,,,
key.alert.closing.details,現在の作業を完了させるか、中断してください。,現在の作業を完了させるか、中断してください。,,,,,,,,,,,,,,,,
key.alert.communicationServer,サーバーとの通信に問題が発生しました,サーバーとの通信に問題が発生しました,,,,,,,,,,,,,,,,
key.alert.communicationServer.details,しばらく待ってから、[再試行]を選択してください。,しばらく待ってから、[再試行]を選択してください。,,,,,,,,,,,,,,,,
key.alert.communicationServer.details2,しばらくしてから、再度試みてください。,しばらくしてから、再度試みてください。,,,,,,,,,,,,,,,,
key.alert.communicationServer.details3,Check the server status,サーバーの状態を確認してください,,,,,,,,,,,,,,,,
key.alert.connectServer,サーバーに接続できません,サーバーに接続できません,,,,,,,,,,,,,,,,
key.alert.connectServer.details,Webサーバーの状態を確認してください。確認した後、[再試行]を選択してください。,Webサーバーの状態を確認してください。確認した後、[再試行]を選択してください。,,,,,,,,,,,,,,,,
key.alert.connectServer.details2,Webサーバーの状態を確認してください。,Webサーバーの状態を確認してください。,,,,,,,,,,,,,,,,
key.alert.differentTypeValue,CustomField content is different from item type,追加情報の値が項目のタイプと異なります,,,,,,,,,,,,,,,,
key.alert.differentVerInfo,Failed to update because it has been updated by another user.,他のユーザーに更新されているため更新できませんでした。,,,,,,,,,,,,,,,,
key.alert.equipmentLogin,サーバーに設備ログインできません,サーバーに設備ログインできません,,,,,,,,,,,,,,,,
key.alert.equipmentLogin.details,adManagerにて設備の登録情報を確認してください。,adManagerにて設備の登録情報を確認してください。,,,,,,,,,,,,,,,,
key.alert.errorInfo,エラー詳細:,エラー詳細:,,,,,,,,,,,,,,,,
key.alert.ident.name.kanbanError,指定されたカンバンは既に存在します。,指定されたカンバンは既に存在します。,,,,,,,,,,,,,,,,
key.alert.ident.name.kanbanError.details,カンバン名を確認してください。,カンバン名を確認してください。,,,,,,,,,,,,,,,,
key.alert.import.proccessing,This operation is invalid\nbecause import processing is in progress.,読み込み中のため、操作は無効です。,,,,,,,,,,,,,,,,
key.alert.inputValidation,入力内容に誤りがあります,入力内容に誤りがあります,,,,,,,,,,,,,,,,
key.alert.inputValidation.details,入力内容を確認してください。,入力内容を確認してください。,,,,,,,,,,,,,,,,
key.alert.instructionInput.overMaxValue,これ以上、作業指示書を読み込むことができません。,これ以上、作業指示書を読み込むことができません。,,,,,,,,,,,,,,,,
key.alert.invalid.argumentError,カンバン作成に必要な情報に誤りがあります。,カンバン作成に必要な情報に誤りがあります。,,,,,,,,,,,,,,,,
key.alert.invalid.argumentError.details,,,,,,,,,,,,,,,,,,
key.alert.invalidKanban,指定された製造オーダーは読み込めません,指定された製造オーダーは読み込めません,,,,,,,,,,,,,,,,
key.alert.invalidKanban.details,製造指示書の内容を確認してください。,製造指示書の内容を確認してください。,,,,,,,,,,,,,,,,
key.alert.licenseError,ライセンスが許可されていません,ライセンスが許可されていません,,,,,,,,,,,,,,,,
key.alert.licenseError.details,ライセンスを取得してください。,ライセンスを取得してください。,,,,,,,,,,,,,,,,
key.alert.loadConfig,設定ファイルを読み込めません,設定ファイルを読み込めません,,,,,,,,,,,,,,,,
key.alert.loadConfig.details,設定ファイルを確認してください。,設定ファイルを確認してください。,,,,,,,,,,,,,,,,
key.alert.notFound,データが見つかりません,データが見つかりません,,,,,,,,,,,,,,,,
key.alert.notFound.details,表示内容を更新してください,表示内容を更新してください,,,,,,,,,,,,,,,,
key.alert.notfound.kanbanError,該当するカンバンが見つかりません,該当するカンバンが見つかりません,,,,,,,,,,,,,,,,
key.alert.notfound.kanbanError.details,カンバンが削除されている可能性があります。\radManagerにてカンバンを確認してください。,カンバンが削除されている可能性があります。\radManagerにてカンバンを確認してください。,,,,,,,,,,,,,,,,
key.alert.notfound.organization,該当する組織が見つかりません。,該当する組織が見つかりません。,,,,,,,,,,,,,,,,
key.alert.notfound.organization.details,カンバン設定画面にて、adManagerで登録した組織を確認してください。,カンバン設定画面にて、adManagerで登録した組織を確認してください。,,,,,,,,,,,,,,,,
key.alert.notfound.workflowError,該当する工程順が見つかりません。,該当する工程順が見つかりません。,,,,,,,,,,,,,,,,
key.alert.notfound.workkanbanError,該当する工程カンバンが見つかりません,該当する工程カンバンが見つかりません,,,,,,,,,,,,,,,,
key.alert.notfound.workkanbanError.details,工程カンバンが削除されている可能性があります。\radManagerにてカンバンを確認してください。,工程カンバンが削除されている可能性があります。\radManagerにてカンバンを確認してください。,,,,,,,,,,,,,,,,
key.alert.noWork,工程順に工程が存在しません。,工程順に工程が存在しません。,,,,,,,,,,,,,,,,
key.alert.organizationLogin,サーバーにログインできません,サーバーにログインできません,,,,,,,,,,,,,,,,
key.alert.organizationLogin.details,adManagerにて組織の登録情報を確認してください。,adManagerにて組織の登録情報を確認してください。,,,,,,,,,,,,,,,,
key.alert.overMaxValue,It is over the maximum value.,最大値を超過しています。,,,,,,,,,,,,,,,,
key.alert.past.day,過去日は%Sできません。,過去日は%Sできません。,,,,,,,,,,,,,,,,
key.alert.serverError,サーバーから不明なエラーが返ってきました,サーバーから不明なエラーが返ってきました,,,,,,,,,,,,,,,,
key.alert.systemError,アプリケーションエラーが発生しました,アプリケーションエラーが発生しました,,,,,,,,,,,,,,,,
key.alert.systemError.details,アプリケーションを再起動してください。,アプリケーションを再起動してください。,,,,,,,,,,,,,,,,
key.alert.unknownServer,サーバーが見つかりません,サーバーが見つかりません,,,,,,,,,,,,,,,,
key.alert.unknownServer.details,ネットワークの接続及び、サーバーのアドレスを確認してください。確認した後、[再試行]を選択してください。,ネットワークの接続及び、サーバーのアドレスを確認してください。確認した後、[再試行]を選択してください。,,,,,,,,,,,,,,,,
key.alert.unknownServer.details2,ネットワークの接続及び、サーバーのアドレスを確認してください。,ネットワークの接続及び、サーバーのアドレスを確認してください。,,,,,,,,,,,,,,,,
key.alert.unmovableHierarchy,Could not move because the hierarchy information has been updated by other users.\nRe-acquire the hierarchy information.,階層情報が他のユーザーに更新されているため移動できませんでした。\n階層情報を再取得します。,,,,,,,,,,,,,,,,
key.alert.workflowError.details,工程順を確認してください。,工程順を確認してください。,,,,,,,,,,,,,,,,
key.Alignment,Text Alignment,文字レイアウト,,,,,,,,,,,,,,,,
key.AlignmentCenter,Center,中央,,,,,,,,,,,,,,,,
key.AlignmentLeft,Left,左,,,,,,,,,,,,,,,,
key.AlignmentRight,Right,右,,,,,,,,,,,,,,,,
key.allCategoryFile,All Files,すべてのファイル,,,,,,,,,,,,,,,,
key.analysisContent,,,,,Content,分析内容,〇,,,,,,,,,,,
key.analysisItems,,,,,Items,分析項目,〇,,,,,,,,,,,
key.AnalysisToolPlugin,,,,,Analysis Tool,分析ツール,〇,,,,,,,,,,,
key.AnalysisWork,,,,,Analysis Work,工程分析,〇,,,,,,,,,,,
key.AndonAppTitle,adMonitor,adMonitor,,,,,,,,,,,,,,,,
key.AndonLineSettingBreakTime,Break time selection,休憩時間選択,,,,,,,,,,,,,,,,
key.AndonLineSettingCautionBackColor,Note at the time of the background color,注意時の背景色,,,,,,,,,,,,,,,,
key.AndonLineSettingCautionFontColor,Note at the time of the character color,注意時の文字色,,,,,,,,,,,,,,,,
key.AndonLineSettingCautionParcent,Retention amount of attention threshold [%],滞留量の注意閾値[%],,,,,,,,,,,,,,,,
key.AndonLineSettingDailyPlan,On the day number of plans,当日計画数,,,,,,,,,,,,,,,,
key.AndonLineSettingEndTime,Work end time,作業終了時刻,,,,,,,,,,,,,,,,
key.AndonLineSettingEquipment,Equipment selection,設備選択,,,,,,,,,,,,,,,,
key.AndonLineSettingEquipTitle,Display name on the monitor,モニター上の表示名,,,,,,,,,,,,,,,,
key.AndonLineSettingMontlyPlan,Month plan number,当月計画数,,,,,,,,,,,,,,,,
key.AndonLineSettingNotAllocate,Unassigned,割り当てなし,,,,,,,,,,,,,,,,
key.AndonLineSettingResetTime,Aggregate reset time,集計リセット時刻,,,,,,,,,,,,,,,,
key.AndonLineSettingSelectEquipment,Target equipment selection,対象設備選択,,,,,,,,,,,,,,,,
key.AndonLineSettingSelectLine,The target line,対象ライン,,,,,,,,,,,,,,,,
key.AndonLineSettingSelectWork,Target work selection,対象工程選択,,,,,,,,,,,,,,,,
key.AndonLineSettingStartTime,Work start time,作業開始時刻,,,,,,,,,,,,,,,,
key.AndonLineSettingTitle,Display title,表示タイトル,,,,,,,,,,,,,,,,
key.AndonLineSettingUnit,Display unit,表示単位,,,,,,,,,,,,,,,,
key.AndonLineSettingUseDailyPlan,ライン全体の当日計画数を使用する,ライン全体の当日計画数を使用する,,,,,,,,,,,,,,,,
key.AndonLineSettingWarningBackColor,Background color at the time of warning,警告時の背景色,,,,,,,,,,,,,,,,
key.AndonLineSettingWarningFontColor,Warning at the time of the character color,警告時の文字色,,,,,,,,,,,,,,,,
key.AndonLineSettingWarningParcent,Retention amount of warning threshold [%],滞留量の警告閾値[%],,,,,,,,,,,,,,,,
key.AndonLineSettingWeekday,Select holiday,休日選択,,,,,,,,,,,,,,,,
key.andonMonitorCellType,For cell production,セル生産向け,,,,,,,,,,,,,,,,
key.andonMonitorLineType,For line production,ラインモニター,,,,,,,,,,,,,,,,
key.AndonSetting,Monitor Setting,進捗モニター設定,,,,,,,,,,,,,,,,
key.andonType,Monitor type,モニター種別,,,,,,,,,,,,,,,,
key.AnteMeridian,AM,午前,,,,,,,,,,,,,,,,
key.AplicationErrMessage,There was a problem in the application,アプリケーションに問題が発生しました.,,,,,,,,,,,,,,,,
key.application.title,adFactory,adFactory,,,,,,,,,,,,,,,,
key.Apply,Apply,適用,,,,,,,,,,,,,,,,
key.Approval,Approval,申請,,,,,,,,,,,,,,,,
key.ApprovalApplyCancelNotificationFailed,Failed to send change request cancellation email.,変更申請取消メールの送信に失敗しました。,,,,,,,,,,,,,,,,
key.ApprovalApplyComplete,A change has been requested.,変更が申請されました。,,,,,,,,,,,,,,,,
key.ApprovalApplyFailed,The application could not be applied because the maximum number of applications was exceeded.,申請数の上限を超えたため、申請できませんでした。,,,,,,,,,,,,,,,,
key.ApprovalApplyNotificationFailed,Failed to send change request email.,変更申請メールの送信に失敗しました。,,,,,,,,,,,,,,,,
key.ApprovalCancel,Approval Cancel,申請取消,,,,,,,,,,,,,,,,
key.ApprovalCancelComplete,You have canceled your change request.,変更申請を取り消しました。,,,,,,,,,,,,,,,,
key.ApprovalCancelDataType,Cancel the %s change request.,%sの変更申請を取り消します。,,,,,,,,,,,,,,,,
key.ApprovalComment,Comment,コメント,,,,,,,,,,,,,,,,
key.ApprovalCondition,Approval Condition,申請状況,,,,,,,,,,,,,,,,
key.ApprovalDataType,Apply for %s changes.,%sの変更を申請します。,,,,,,,,,,,,,,,,
key.ApprovalDatetime,Approval Datetime,承認日時,,,,,,,,,,,,,,,,
key.ApprovalKanbanMessage,Do you want to approve %s?,%sを承認しますか？,,,,,,,,,,,,,,,,
key.ApprovalKanbansMessage,Do you want to approve Kanban?,カンバンを承認しますか？,,,,,,,,,,,,,,,,
key.ApprovalRequestorName,Approval Requestor Name,申請者,,,,,,,,,,,,,,,,
key.ApprovalRevision,Revision,リビジョン,,,,,,,,,,,,,,,,
key.ApprovalRoute,Approval Route,承認ルート,,,,,,,,,,,,,,,,
key.ApprovalRouteEdit,Approval Route Edit,承認ルート編集,,,,,,,,,,,,,,,,
key.ApprovalRouteName,Approval Route Name,承認ルート名,,,,,,,,,,,,,,,,
key.ApprovalStatus,Approve,可,,,,,,,,,,,,,,,,
key.Approve,Approve,承認,,,,,,,,,,,,,,,,
key.ApproveAuth,Approve Authority,承認権限,,,,,,,,,,,,,,,,
key.ApproveOverwrite,There is a Kanban that has already been approved. Do you want to overwrite it?,すでに承認されているカンバンがあります。上書きしますか？,,,,,,,,,,,,,,,,
key.Area,Zone,区画,,,,,,,,,,,,,,,,
key.AreaName,Zone Name,区画名,,,,,,,,,,,,,,,,
key.ArrivalDate,Arrival date,納入予定日,,,,,,,,,,,,,,,,
key.ArrivalNum,Order Qty,発注数,,,,,,,,,,,,,,,,
key.ArrivingQuantity,入荷予定数,入荷予定数,,,,,,,,,,,,,,,,
key.AssemblyDate,Assembly date,組付け日,,,,,,,,,,,,,,,,
key.AssemblyDatetime,Assembly date and time,組付け日時,,,,,,,,,,,,,,,,
key.AttachFile,Attach File,ファイルを添付する,,,,,,,,,,,,,,,,
key.AttentionThreshold,注意閾値,注意閾値,,,,,,,,,,,,,,,,
key.AuthOrganization,編集・参照・検索を許可する組織,編集・参照・検索を許可する組織,,,,,,,,,,,,,,,,
key.Authority,Authority,権限,,,,,,,,,,,,,,,,
key.authorityAdmin,Admin,管理者,,,,,,,,,,,,,,,,
key.authoritySystemAdmin,SystemAdmin,システム管理者,,,,,,,,,,,,,,,,
key.authorityWoker,Worker,作業者,,,,,,,,,,,,,,,,
key.Authorizer,Authorizer,承認者,,,,,,,,,,,,,,,,
key.AuthUnitHierarchy,,,,,生産ユニット階層の\r権限編集,生産ユニット階層の\r権限編集,〇,,,,,,,,,,,
key.AuthUnitTemplateHierarchy,,,,,ユニットテンプレート階層の\r権限編集,ユニットテンプレート階層の\r権限編集,〇,,,,,,,,,,,
key.AutoCountdown,Auto Countdown,自動カウントダウン,,,,,,,,,,,,,,,,
key.autoScroll,Auto Scroll,自動スクロール,,,,,,,,,,,,,,,,
key.autoScrollTime,Auto Scroll Time [HH:mm],自動スクロール範囲[HH:mm],,,,,,,,,,,,,,,,
key.AutoSynchronization,Auto Synchronization,自動同期,Auto Synchronization,自動同期,,,,,,,,,,,,,,
key.AutoUpdate,Auto Update,自動更新,,,,,,,,,,,,,,,,
key.Average,Average,平均値,,,,,,,,,,,,,,,,
key.AverageProductWorkingHours,Average product working hours,製品の平均作業時間,,,,,,,,,,,,,,,,
key.AverageWorkTime,Average work time,平均作業時間,,,,,,,,,,,,,,,,
key.BackColor,BackColor,背景色,,,,,,,,,,,,,,,,
key.BackToList,,,,,to List　Screen,一覧画面\rに戻る,〇,,,,,,,,,,,
key.BeforeLocationName,Before ｌocation,移動前,Before ｌocation,移動前,,,,,,,,,,,,,,
key.BreakTime,BreakTime,休憩,,,,,,,,,,,,,,,,
key.BreakTimeInfomation,Break Time Information,休憩情報,,,,,,,,,,,,,,,,
key.BulkInputOption,Enter on product unit,製品単位に入力する,,,,,,,,,,,,,,,,
key.BulkType_sequential,Enter this item all together,この項目をまとめて入力する,,,,,,,,,,,,,,,,
key.BulkType_grouping,Follow the steps to enter,手順に従って入力する,,,,,,,,,,,,,,,,
key.calcEndTime,(Automaticaly calclated by the number of plans),(当日計画数から自動計算されます),,,,,,,,,,,,,,,,
key.calendar.back,＜,＜,,,,,,,,,,,,,,,,
key.calendar.next,＞,＞,,,,,,,,,,,,,,,,
key.calendar.week.friday,金,金,,,,,,,,,,,,,,,,
key.calendar.week.monday,月,月,,,,,,,,,,,,,,,,
key.calendar.week.saturday,土,土,,,,,,,,,,,,,,,,
key.calendar.week.sunday,日,日,,,,,,,,,,,,,,,,
key.calendar.week.thursday,木,木,,,,,,,,,,,,,,,,
key.calendar.week.tuesday,火,火,,,,,,,,,,,,,,,,
key.calendar.week.wednesday,水,水,,,,,,,,,,,,,,,,
key.CalFlg,CalFlg,機器校正有無,,,,,,,,,,,,,,,,
key.CalibEnable,Check calibration date,校正日の確認,,,,,,,,,,,,,,,,
key.CalibLastDate,Last date,前回校正日,,,,,,,,,,,,,,,,
key.CalibNextDate,Next date,次回校正日,,,,,,,,,,,,,,,,
key.CalibPerson,Calibration person,校正実施者,,,,,,,,,,,,,,,,
key.Calibrate,Calibrate,校正の実施,,,,,,,,,,,,,,,,
key.Calibration,Calibration,校正,,,,,,,,,,,,,,,,
key.CalibrationDate,Date,校正日,,,,,,,,,,,,,,,,
key.CalibTerm,Term,校正間隔,,,,,,,,,,,,,,,,
key.CalibWarningDays,Number of days to warning,警告表示日,,,,,,,,,,,,,,,,
key.CalibWarningDaysUnit,Days,日前,,,,,,,,,,,,,,,,
key.call,呼出,呼出,,,,,,,,,,,,,,,,
key.CalLastDate,CalLastDate,校正間隔単位,,,,,,,,,,,,,,,,
key.CallMelody,呼出メロディ,呼出メロディ,,,,,,,,,,,,,,,,
key.CallRanking,Call Time Ranking,呼出回数ランキング,,,,,,,,,,,,,,,,
key.callReasons,call Reasons,呼出理由,,,,,,,,,,,,,,,,
key.calTermUnit,calTermUnit,次回校正日,,,,,,,,,,,,,,,,
key.Cancel,Cancel,キャンセル,,,,,,,,,,,,,,,,
key.CarriageId,Carriage ID,台車ID,Carriage ID,台車ID,,,,,,,,,,,,,,
key.CarriageIdentName,Carriage identify name,台車識別名,Carriage identify name,台車識別名,,,,,,,,,,,,,,
key.CarriageLocation,Carriage list,台車一覧,Carriage list,台車一覧,,,,,,,,,,,,,,
key.CarriageLocationName,Carriage location,台車所在,Carriage location,台車所在,,,,,,,,,,,,,,
key.CarriageName,Name,台車名,Name,台車名,,,,,,,,,,,,,,
key.CarriageStatus,Status,ステータス,Status,ステータス,,,,,,,,,,,,,,
key.CarriageType,Type,タイプ,Type,タイプ,,,,,,,,,,,,,,
key.CarriageUpdateDate,Update date,更新日,Update date,更新日,,,,,,,,,,,,,,
key.Category,Category,種別,,,,,,,,,,,,,,,,
key.CellGraphMonitor,,,,,Graph Monitor,グラフ画面,〇,,,,,,,,,,,
key.CellList2ColumnTitle,,,,,Column Title,項目,〇,,,,,,,,,,,
key.CellList2HolidayCalendar,,,,,Holiday Calendar,休日カレンダー,〇,,,,,,,,,,,
key.CellList2Monitor,,,,,List2 Monitor,リスト2画面,〇,,,,,,,,,,,
key.CellList2RemainingWork,,,,,Remaining Work, 残工程,〇,,,,,,,,,,,
key.CellListMonitor,,,,,List Monitor,リスト画面,〇,,,,,,,,,,,
key.CellMonitorColumnNum,,,,,Row Num,表示行数,〇,,,,,,,,,,,
key.CellMonitorMainColumnTitle,,,,,Main Column Title,メインカラム名,〇,,,,,,,,,,,
key.CellMonitorRowNum,,,,,Column Num,表示列数,〇,,,,,,,,,,,
key.CellMonitorSubColumnTitle,,,,,Sub Column Title,サブカラム名,〇,,,,,,,,,,,
key.CellPanelMonitor,,,,,Panel Monitor,パネル画面,〇,,,,,,,,,,,
key.Change,Change,変更,,,,,,,,,,,,,,,,
key.Changed,Changed %s.,%sを変更しました。,,,,,,,,,,,,,,,,
key.ChangedKanbanPlan,Changed Kanban planning time.,カンバンの計画時間を変更しました。,,,,,,,,,,,,,,,,
key.ChangeName,Change Name,名前の変更,,,,,,,,,,,,,,,,
key.ChangePlans,Change plans,計画変更,,,,,,,,,,,,,,,,
key.ChangeSetting,Change Setting,設定変更,,,,,,,,,,,,,,,,
key.ChangeStatus,Change Status,ステータス変更,,,,,,,,,,,,,,,,
key.ChangeStatusForced,Forcibly change the Kanban status,強制的にカンバンステータスを変更する,,,,,,,,,,,,,,,,
key.ChangeStatusPlanning,"I'm trying to change it planning.\nAll processes, including completion, are returned to planned.\nDo you want to change the Kanban status?",計画中に変更しようとしています。\n作業完了した工程を含むすべての工程が計画済に戻ります。\nカンバンステータスを変更しますか?,,,,,,,,,,,,,,,,
key.ChangeStatusWorking,"There is a process in progress.\nIf you change the Kanban status, the process you are working on will be aborted.\nDo you want to change the Kanban status?",作業中の工程があります。\nカンバンステータスを変更すると、作業中の工程は中止されます。\nカンバンステータスを変更しますか?,,,,,,,,,,,,,,,,
key.char.and,の,の,,,,,,,,,,,,,,,,
key.ChartSeries,Actual,実績,,,,,,,,,,,,,,,,
key.CheckAll,Check All,すべて選択,,,,,,,,,,,,,,,,
key.Checkpoint,Checkpoint,進捗チェックポイント,,,,,,,,,,,,,,,,
key.CheckSave,,,,,To save the changes,変更の保存,〇,,,,,,,,,,,
key.CheckSaveMessage,,,,,Do you want to save the changes of %s?,%sの変更を保存しますか？,〇,,,,,,,,,,,
key.Choice,Choice,選択,,,,,,,,,,,,,,,,
key.Class,分類,分類,,,,,,,,,,,,,,,,
key.ClassName,分類名,分類名,,,,,,,,,,,,,,,,
key.Clear,Clear,消去,,,,,,,,,,,,,,,,
key.Close,Close,閉じる,,,,,,,,,,,,,,,,
key.CloseExcelFile,CheckSelectedExcelFileIsClosed,選択したエクセルファイルが閉じられているか確認してください。,,,,,,,,,,,,,,,,
key.ClosingTime,Closing Time,終業時間設定,,,,,,,,,,,,,,,,
key.CollectivelyOutput,Collectively output,まとめて帳票出力,,,,,,,,,,,,,,,,
key.CollectivelyOutputButton,Collectively\nroutput,まとめて\n帳票出力,,,,,,,,,,,,,,,,
key.ColorValueList,ColorValueList,色付入力値リスト,,,,,,,,,,,,,,,,
key.ColumnCount,Number of columns,カラム数,,,,,,,,,,,,,,,,
key.columnFontSize,Column Font Size,カラムのフォントサイズ,,,,,,,,,,,,,,,,
key.Commonsetting,Common setting,共通設定,,,,,,,,,,,,,,,,
key.CommunicationMethod,Communication Method,通信方式,,,,,,,,,,,,,,,,
key.CompCountType,Line actual count type,ライン全体の実績数のカウント方法,,,,,,,,,,,,,,,,
key.CompCountType.Equipment,Number of trips to the target equipment,対象設備を巡回した数,,,,,,,,,,,,,,,,
key.CompCountType.Kanban,Number of completed kanban,完了したカンバン数,,,,,,,,,,,,,,,,
key.CompCountType.Work,Number of trips to the target work,対象工程を巡回した数,,,,,,,,,,,,,,,,
key.complete,Comlete,完了,,,,,,,,,,,,,,,,
key.Completed,%s has been completed,%sが完了しました。,,,,,,,,,,,,,,,,
key.CompleteTime,Complete time,完了時間,,,,,,,,,,,,,,,,
key.CompNum,Number of completes,完了数,,,,,,,,,,,,,,,,
key.CompNumber,Comp number,終了番号,Comp number,終了番号,,,,,,,,,,,,,,
key.Component,構成部品,構成部品,,,,,,,,,,,,,,,,
key.confirm,Confirm,確認,,,,,,,,,,,,,,,,
key.confirm.approvalRequestCancel,Cancel the application. \rIs it OK?,申請を取り消します。\rよろしいですか?,,,,,,,,,,,,,,,,
key.confirm.change,The input content is not saved.,入力内容が保存されていません。,,,,,,,,,,,,,,,,
key.confirm.dataDestruction,入力途中のデータが破棄されます。よろしいですか?,入力途中のデータが破棄されます。よろしいですか?,,,,,,,,,,,,,,,,
key.confirm.destroy,The input content is not saved.\rDo you want to save?,入力内容が保存されていません。\r保存しますか?,,,,,,,,,,,,,,,,
key.confirm.interrupt,現在の作業を中断しますか?,現在の作業を中断しますか?,,,,,,,,,,,,,,,,
key.confirm.interrupt.details,中断する場合は[はい]を、そうでない場合は[いいえ]を選択してください。,中断する場合は[はい]を、そうでない場合は[いいえ]を選択してください。,,,,,,,,,,,,,,,,
